date,open,high,low,close,volume,amount,pct_change
2025-05-08,3820.5481,3867.3313,3816.2642,3852.8963,12495983300,246987280587.7,0.555098
2025-05-09,3848.6187,3853.6632,3836.5349,3846.1566,11938952600,216697939671.7,-0.174926
2025-05-12,3866.5305,3890.7342,3859.0346,3890.6096,15333246000,296122947807.8,1.155777
2025-05-13,3915.5924,3915.5924,3890.6855,3896.2583,14732029900,267586397719.9,0.145188
2025-05-14,3894.8386,3960.5228,3890.6504,3943.2108,17203377900,319465226850.5,1.205066
2025-05-15,3934.0273,3936.4653,3904.9068,3907.1992,13808174900,241464943553.6,-0.913256
2025-05-16,3898.6662,3903.8528,3874.8619,3889.0854,11840534500,208835664039.2,-0.463601
2025-05-19,3882.5677,3885.5889,3866.5695,3877.1453,9864341400,184888170553.8,-0.307016
2025-05-20,3883.1024,3911.4737,3881.7436,3898.1705,10488523400,201636702521.8,0.542286
2025-05-21,3899.4365,3928.6339,3899.4365,3916.3807,10979134300,217037739435.0,0.467147
2025-05-22,3912.6007,3923.0195,3903.0898,3913.8651,10759705200,197511410270.8,-0.064233
2025-05-23,3910.3739,3931.5514,3882.2741,3882.2741,12027741900,232945378294.8,-0.807156
2025-05-26,3875.7891,3884.537,3849.0384,3860.1067,10960120700,208876792148.9,-0.570990
2025-05-27,3857.6271,3865.4291,3834.8455,3839.3969,9857242500,178466763540.9,-0.536508
2025-05-28,3843.0747,3849.736,3833.9582,3836.2366,8903102600,162496372727.5,-0.082312
2025-05-29,3838.0092,3869.7909,3831.4577,3858.6998,10847188600,209459602501.2,0.585553
2025-05-30,3850.493,3858.6128,3829.2542,3840.2323,11167222800,199389751071.1,-0.478594
2025-06-03,3833.4584,3863.2952,3832.7202,3852.0127,13140309000,226782772062.7,0.306763
2025-06-04,3855.4878,3875.8569,3855.4878,3868.7429,11680387300,211736178154.1,0.434324
2025-06-05,3872.6373,3883.1345,3861.272,3877.5557,12287818400,231749275334.6,0.227795
2025-06-06,3878.1027,3889.4557,3869.3871,3873.9841,11098797100,202034736310.9,-0.092110
2025-06-09,3877.7977,3894.6517,3871.9917,3885.2459,13630629300,262023668465.5,0.290703
2025-06-10,3887.5512,3897.4573,3850.4663,3865.4652,14556385900,263647551794.8,-0.509124
2025-06-11,3870.6719,3911.6107,3870.6719,3894.6252,14241477200,257217704405.4,0.754372
