date,股票代码,open,close,high,low,volume,amount,振幅,pct_change,涨跌额,turnover
2025-04-29,300750,226.09,224.12,226.89,222.81,167424,3892978723.0,1.8,-1.24,-2.82,0.43
2025-04-30,300750,225.14,223.59,226.47,223.59,156328,3635403837.0,1.29,-0.24,-0.53,0.4
2025-05-06,300750,226.0,223.72,228.39,223.29,196877,4591289270.0,2.28,0.06,0.13,0.5
2025-05-07,300750,228.54,230.7,232.97,228.17,312810,7444719326.0,2.15,3.12,6.98,0.8
2025-05-08,300750,231.58,236.66,240.77,230.07,312856,7666995082.0,4.64,2.58,5.96,0.8
2025-05-09,300750,238.16,240.36,241.86,236.74,236933,5858468263.0,2.16,1.56,3.7,0.61
2025-05-12,300750,247.09,249.09,250.08,245.09,302315,7731591601.0,2.08,3.63,8.73,0.77
2025-05-13,300750,254.09,250.86,254.09,247.11,204806,5281511474.0,2.8,0.71,1.77,0.52
2025-05-14,300750,250.86,254.69,256.55,248.1,231463,6020688165.0,3.37,1.53,3.83,0.59
2025-05-15,300750,254.71,252.27,254.96,251.69,141119,3685574613.0,1.28,-0.95,-2.42,0.36
2025-05-16,300750,251.23,251.45,253.82,249.82,189001,4904611047.0,1.59,-0.33,-0.82,0.48
2025-05-19,300750,252.59,252.09,252.63,249.36,169740,4399897902.0,1.3,0.25,0.64,0.43
2025-05-20,300750,256.53,255.09,257.59,247.29,346424,9053425367.0,4.09,1.19,3.0,0.89
2025-05-21,300750,259.08,266.17,272.08,257.89,565245,15470587405.0,5.56,4.34,11.08,1.45
2025-05-22,300750,269.89,262.46,270.03,260.36,276081,7470701466.0,3.63,-1.39,-3.71,0.71
2025-05-23,300750,263.1,259.08,266.09,259.04,230004,6218224096.0,2.69,-1.29,-3.38,0.59
2025-05-26,300750,257.09,247.99,258.47,244.99,330122,8477228630.0,5.2,-4.28,-11.09,0.85
2025-05-27,300750,247.98,246.08,249.3,244.48,176680,4491281265.0,1.94,-0.77,-1.91,0.45
2025-05-28,300750,247.7,245.69,250.36,245.41,154563,3946773465.0,2.01,-0.16,-0.39,0.4
2025-05-29,300750,245.09,243.94,246.07,241.09,217883,5487937547.0,2.03,-0.71,-1.75,0.56
2025-05-30,300750,242.99,242.09,244.74,239.56,204337,5107325147.0,2.12,-0.76,-1.85,0.52
2025-06-03,300750,244.09,243.24,245.99,242.53,158412,3989341996.0,1.43,0.48,1.15,0.41
